ts	phase	decision	why	evidence	result
2026-09-25T18:54:35Z	baseline	Added CLI reproductions for chair task posting and premature unanimous ballots	Both defects were observable through the public command path	tests/test_forum.py	2 predicted failures; baseline 22 tests passed
2026-09-25T19:03:28Z	lifecycle	Serialized close and abandon, restored failed-member input, and repaired task posts	Owned topic changes under SQLite write locks and kept input available for retry	8aa04f6	4 focused tests green; ruff and mypy green
2026-09-25T19:22:58Z	design	Reserved deterministic job IDs before launch and reused the existing forum tables	This closes the unknown-job crash gap without adding an outbox or schema migration	scripts/forum.py	round retry adopts known jobs
2026-09-25T19:23:03Z	protocol	Copied the source set at topic open and gave every member the same prior candidates	One-shot jobs need stable evidence and a complete ballot context	scripts/task_runner.py	source and candidate regressions green
2026-09-25T19:23:08Z	publication	Committed consensus to SQLite before publishing its JSON cache	SQLite and the filesystem cannot commit atomically; export now repairs from the database	scripts/forum.py	publication and export race tests green
2026-09-25T19:24:19Z	review	Removed three test type suppressions after an independent comment pass	Typed callbacks show the concurrency test contracts directly	tests/test_forum.py	no comment suppressions added
2026-09-25T19:25:18Z	review	Kept the worker lock as the single provider-execution guard	Two supervisors can spawn after a parent crash, but only one executes the CLI	tests/test_jobs.py	forced two-supervisor race passed: one execution
2026-09-25T19:26:59Z	verify	Ran the full repository gate after the two-supervisor race test	This is the project check required before a commit	scripts/check.sh	ruff, mypy, 89 tests, and plugin validation passed
2026-09-25T19:28:03Z	verify	Ran all 89 tests on Python 3.11	Production supports Python 3.11 even though uv selected 3.14 for the main check	tests/test_forum.py	89 tests passed on Python 3.11
2026-09-25T19:28:56Z	recovery	Changed job IDs from deterministic to fresh per reservation	Abandon rewinds the round number; reusing the old ID would reuse completed work	tests/test_forum.py	abandon-and-restart regression red then green
2026-09-25T19:31:19Z	verify	Re-ran the required repository gate after the abandonment correction	The new attempt-ID behavior must pass the same full checks as earlier units	scripts/check.sh	ruff, mypy, 90 tests, and plugin validation passed
2026-09-25T19:32:59Z	verify	Re-ran all 90 tests on Python 3.11 after the abandonment fix	The final branch still supports the project minimum Python version	tests/test_forum.py	90 tests passed on Python 3.11
2026-09-25T19:34:16Z	launcher	Removed the supervisor-PID existence guard from launch retries	A reused PID can belong to an unrelated process; the worker lock already prevents duplicate provider calls	tests/test_jobs.py	reused-PID test red then green; two-supervisor test remains green
2026-09-25T19:34:22Z	audit	Clarified that the fresh-ID decision supersedes row 4 and that candidate construction lives in forum.py	The earlier references were incomplete after the recovery redesign	scripts/forum.py; scripts/task_runner.py; tests/test_forum.py	decision trail corrected by appended row
2026-09-25T19:35:55Z	verify	Ran the full gate after removing the stale-PID retry check	The last launcher change must pass lint, types, tests, and plugin validation together	scripts/check.sh	91 tests passed on Python 3.11; Ruff, mypy, plugin validate passed
2026-09-25T19:39:00Z	recovery	Cleared a prior launch error at the start of a new launch attempt	A successful retry must not continue reporting an earlier spawn failure	tests/test_jobs.py; scripts/jobs.py	spawn-failure retry test red then green
2026-09-25T19:40:27Z	verify	Ran the required repository gate after the launch-error correction	The complete branch must pass before commit	scripts/check.sh	92 tests passed on Python 3.11; Ruff, mypy, plugin validation passed
